Time [us],MIDI IN 2-Piano,MIDI IN 3-PC
12209344,1,0
12209538,1,1
12209565,1,1
12209569,1,0
12209600,1,0
12209602,1,1
12209666,1,0
12209886,1,0
12209955,1,1
12210014,1,1
12210018,1,0
12210080,1,0
12210083,1,1
12210111,1,1
12210114,1,0
12210142,1,0
12210147,1,1
12210239,1,1
12210242,1,0
12210270,1,0
12210275,1,1
12210336,1,1
12210370,1,0
12210403,1,1
12210434,1,0
12210499,1,1
12210560,1,1
12210591,1,1
12210622,1,1
12210626,1,0
12210653,1,0
12210659,1,1
12210723,1,0
12210944,1,0
12211012,1,1
12211072,1,1
12211075,1,0
12211108,1,1
12211133,1,1
12211164,1,1
12211171,1,0
12211199,1,0
12211204,1,1
12211235,1,0
12211268,1,1
12211292,1,1
12211327,1,1
12211389,1,1
12211420,1,1
12211427,1,0
12211455,1,0
12211517,1,0
12211645,1,0
