Time [s],MIDI IN 2-Piano,MIDI IN 3-PC,MIDI OUT 2-Synth,MIDI OUT 3-No Load,Channel 4,Channel 5,Channel 6,Channel 7
9.930140000,1,1,0,1,1,1,1,1
9.930143000,1,0,0,1,1,1,1,1
9.930174000,1,0,1,1,1,1,1,1
9.930176000,1,1,1,1,1,1,1,1
9.930236000,1,1,0,1,1,1,1,1
9.930271000,1,0,0,1,1,1,1,1
9.930304000,1,1,0,1,1,1,1,1
9.930335000,1,0,0,1,1,1,1,1
9.930400000,1,1,0,1,1,1,1,1
9.930461000,1,1,1,1,1,1,1,1
9.930492000,1,1,0,1,1,1,1,1
9.930523000,1,1,1,1,1,1,1,1
9.930527000,1,0,1,1,1,1,1,1
9.930558000,1,0,0,1,1,1,1,1
9.930560000,1,1,0,1,1,1,1,1
9.930624000,1,0,0,1,1,1,1,1
9.930845000,1,0,1,1,1,1,1,1
9.930913000,1,1,1,1,1,1,1,1
9.930972000,1,1,0,1,1,1,1,1
9.930976000,1,0,0,1,1,1,1,1
9.931009000,1,1,0,1,1,1,1,1
9.931038000,1,1,1,1,1,1,1,1
9.931136000,1,0,1,1,1,1,1,1
9.931169000,1,1,1,1,1,1,1,1
9.931197000,1,1,0,1,1,1,1,1
9.931228000,1,1,1,1,1,1,1,1
9.931294000,1,1,0,1,1,1,1,1
9.931325000,1,1,1,1,1,1,1,1
9.931328000,1,0,1,1,1,1,1,1
9.931356000,1,0,0,1,1,1,1,1
9.931422000,1,0,1,1,1,1,1,1
9.931549000,1,0,0,1,1,1,1,1
9.931580000,1,0,1,1,1,1,1,1
9.931611000,1,0,0,1,1,1,1,1
9.931617000,1,1,0,1,1,1,1,1
9.931681000,1,0,0,1,1,1,1,1
9.931902000,1,0,1,1,1,1,1,1
9.931906000,1,1,1,1,1,1,1,1
9.931937000,1,0,1,1,1,1,1,1
9.931970000,1,1,1,1,1,1,1,1
9.932030000,1,1,0,1,1,1,1,1
9.932033000,1,0,0,1,1,1,1,1
9.932061000,1,0,1,1,1,1,1,1
9.932066000,1,1,1,1,1,1,1,1
